country,year,total general government revenue (% GDP)
Austria,2018,48.6
Belgium,2018,51.7
Bulgaria,2018,36.8
Cyprus,2018,39.9
Czechia,2018,41.5
Germany (until 1990 former territory of the FRG),2018,45.6
Denmark,2018,52
Euro area (11 countries),2018,46.4
Euro area (12 countries),2018,46.4
Euro area (13 countries),2018,46.4
Euro area (15 countries),2018,46.4
Euro area (16 countries),2018,46.3
Euro area (17 countries),2018,46.3
Euro area (18 countries),2018,46.3
Euro area (19 countries),2018,46.3
Estonia,2018,39
Greece,2018,47.8
Spain,2018,38.9
European Union - 15 countries (1995-2004),2018,45.5
European Union - 25 countries (2004-2006),2018,45.2
European Union - 28 countries,2018,45
Finland,2018,52.8
France,2018,53.5
Croatia,2018,46.6
Hungary,2018,44.2
Ireland,2018,25.8
Iceland,2018,42.8
Italy,2018,46.4
Lithuania,2018,34.7
Luxembourg,2018,45.5
Latvia,2018,37.5
Malta,2018,38.8
Netherlands,2018,43.6
Norway,2018,56
Poland,2018,41.2
Portugal,2018,43.5
Romania,2018,32
Sweden,2018,50.8
Slovenia,2018,43.1
Slovakia,2018,39.9
United Kingdom,2018,39.3
Austria,2017,48.4
Belgium,2017,51.3
Bulgaria,2017,36.2
Switzerland,2017,35.4
Cyprus,2017,39.1
Czechia,2017,40.5
Germany (until 1990 former territory of the FRG),2017,45
Denmark,2017,52.6
Euro area (11 countries),2017,46.2
Euro area (12 countries),2017,46.2
Euro area (13 countries),2017,46.2
Euro area (15 countries),2017,46.2
Euro area (16 countries),2017,46.1
Euro area (17 countries),2017,46.1
Euro area (18 countries),2017,46.1
Euro area (19 countries),2017,46
Estonia,2017,38.9
Greece,2017,48.1
Spain,2017,37.9
European Union - 15 countries (1995-2004),2017,45.3
European Union - 25 countries (2004-2006),2017,45
European Union - 28 countries,2017,44.8
Finland,2017,53.4
France,2017,53.6
Croatia,2017,46.1
Hungary,2017,44.7
Ireland,2017,26
Iceland,2017,43.8
Italy,2017,46.5
Lithuania,2017,33.6
Luxembourg,2017,44.4
Latvia,2017,37.2
Malta,2017,39.2
Netherlands,2017,43.7
Norway,2017,54.9
Poland,2017,39.7
Portugal,2017,42.7
Romania,2017,30.9
Sweden,2017,50.9
Slovenia,2017,43.2
Slovakia,2017,39.4
United Kingdom,2017,39.1
Austria,2016,48.7
Belgium,2016,50.7
Bulgaria,2016,35.2
Switzerland,2016,34.7
Cyprus,2016,38.3
Czechia,2016,40.2
Germany (until 1990 former territory of the FRG),2016,44.8
Denmark,2016,52.6
Euro area (11 countries),2016,46.1
Euro area (12 countries),2016,46.1
Euro area (13 countries),2016,46.1
Euro area (15 countries),2016,46.1
Euro area (16 countries),2016,46
Euro area (17 countries),2016,46
Euro area (18 countries),2016,46
Euro area (19 countries),2016,46
Estonia,2016,39.1
Greece,2016,49.4
Spain,2016,37.7
European Union - 15 countries (1995-2004),2016,45.1
European Union - 25 countries (2004-2006),2016,44.7
European Union - 28 countries,2016,44.6
Finland,2016,54.2
France,2016,53
Croatia,2016,46.3
Hungary,2016,45.1
Ireland,2016,26.9
Iceland,2016,56.9
Italy,2016,46.5
Lithuania,2016,34.4
Luxembourg,2016,43.7
Latvia,2016,37
Malta,2016,37.4
Netherlands,2016,43.6
Norway,2016,54.8
Poland,2016,38.9
Portugal,2016,42.8
Romania,2016,31.8
Sweden,2016,50.8
Slovenia,2016,43.4
Slovakia,2016,39.2
United Kingdom,2016,38.5
Austria,2015,50.1
Belgium,2015,51.4
Bulgaria,2015,38.8
Switzerland,2015,34.7
Cyprus,2015,39.3
Czechia,2015,41.1
Germany (until 1990 former territory of the FRG),2015,44.5
Denmark,2015,53.2
Euro area (11 countries),2015,46.3
Euro area (12 countries),2015,46.3
Euro area (13 countries),2015,46.3
Euro area (15 countries),2015,46.3
Euro area (16 countries),2015,46.3
Euro area (17 countries),2015,46.3
Euro area (18 countries),2015,46.3
Euro area (19 countries),2015,46.2
Estonia,2015,39.7
Greece,2015,47.9
Spain,2015,38.5
European Union - 15 countries (1995-2004),2015,45
European Union - 25 countries (2004-2006),2015,44.7
European Union - 28 countries,2015,44.6
Finland,2015,54.3
France,2015,53.2
Croatia,2015,45.2
Hungary,2015,48.2
Ireland,2015,27
Iceland,2015,40.6
Italy,2015,47.7
Lithuania,2015,34.6
Luxembourg,2015,43.3
Latvia,2015,36.9
Malta,2015,38.5
Netherlands,2015,42.6
Norway,2015,54.9
Poland,2015,39
Portugal,2015,43.8
Romania,2015,35.4
Sweden,2015,49.8
Slovenia,2015,44.9
Slovakia,2015,42.5
United Kingdom,2015,38
Austria,2014,49.7
Belgium,2014,52.2
Bulgaria,2014,37.7
Switzerland,2014,33.6
Cyprus,2014,39.8
Czechia,2014,40.3
Germany (until 1990 former territory of the FRG),2014,44.5
Denmark,2014,56.4
Euro area (11 countries),2014,46.8
Euro area (12 countries),2014,46.8
Euro area (13 countries),2014,46.8
Euro area (15 countries),2014,46.8
Euro area (16 countries),2014,46.7
Euro area (17 countries),2014,46.7
Euro area (18 countries),2014,46.7
Euro area (19 countries),2014,46.7
Estonia,2014,38.5
Greece,2014,46.6
Spain,2014,38.9
European Union - 15 countries (1995-2004),2014,45.5
European Union - 25 countries (2004-2006),2014,45.1
European Union - 28 countries,2014,45
Finland,2014,54.9
France,2014,53.3
Croatia,2014,42.9
Hungary,2014,46.9
Ireland,2014,33.8
Iceland,2014,43.7
Italy,2014,47.9
Lithuania,2014,34
Luxembourg,2014,43.3
Latvia,2014,36.6
Malta,2014,39.4
Netherlands,2014,43.6
Norway,2014,54.5
Poland,2014,38.7
Portugal,2014,44.6
Romania,2014,34.1
Sweden,2014,49.5
Slovenia,2014,44.4
Slovakia,2014,39.3
United Kingdom,2014,37.7
Austria,2013,49.7
Belgium,2013,52.7
Bulgaria,2013,37.3
Switzerland,2013,33.8
Cyprus,2013,36.7
Czechia,2013,41.4
Germany (until 1990 former territory of the FRG),2013,44.5
Denmark,2013,54.6
Euro area (11 countries),2013,46.9
Euro area (12 countries),2013,46.9
Euro area (13 countries),2013,46.9
Euro area (15 countries),2013,46.9
Euro area (16 countries),2013,46.8
Euro area (17 countries),2013,46.8
Euro area (18 countries),2013,46.8
Euro area (19 countries),2013,46.8
Estonia,2013,38.3
Greece,2013,49.1
Spain,2013,38.6
European Union - 15 countries (1995-2004),2013,45.8
European Union - 25 countries (2004-2006),2013,45.5
European Union - 28 countries,2013,45.3
Finland,2013,54.9
France,2013,53.1
Croatia,2013,42.4
Hungary,2013,46.7
Ireland,2013,34.2
Iceland,2013,40.6
Italy,2013,48.1
Lithuania,2013,32.9
Luxembourg,2013,44.3
Latvia,2013,36.6
Malta,2013,39.5
Netherlands,2013,43.6
Norway,2013,54.7
Poland,2013,38.5
Portugal,2013,45.1
Romania,2013,33.3
Sweden,2013,50.6
Slovenia,2013,44.8
Slovakia,2013,38.7
United Kingdom,2013,38.6
Austria,2012,49
Belgium,2012,51.6
Bulgaria,2012,34.1
Switzerland,2012,33.6
Cyprus,2012,36.4
Czechia,2012,40.5
Germany (until 1990 former territory of the FRG),2012,44.3
Denmark,2012,54.5
Euro area (11 countries),2012,46.2
Euro area (12 countries),2012,46.3
Euro area (13 countries),2012,46.2
Euro area (15 countries),2012,46.2
Euro area (16 countries),2012,46.1
Euro area (17 countries),2012,46.1
Euro area (18 countries),2012,46.1
Euro area (19 countries),2012,46.1
Estonia,2012,39
Greece,2012,46.9
Spain,2012,37.6
European Union - 15 countries (1995-2004),2012,45.1
European Union - 25 countries (2004-2006),2012,44.8
European Union - 28 countries,2012,44.6
Finland,2012,54
France,2012,52.1
Croatia,2012,42.5
Hungary,2012,46.1
Ireland,2012,34
Iceland,2012,40.2
Italy,2012,47.9
Lithuania,2012,33
Luxembourg,2012,44.4
Latvia,2012,36.8
Malta,2012,39.2
Netherlands,2012,42.8
Norway,2012,56.7
Poland,2012,39.1
Portugal,2012,42.9
Romania,2012,33.7
Sweden,2012,50.3
Slovenia,2012,44.5
Slovakia,2012,36.3
United Kingdom,2012,37.7
Austria,2011,48.3
Belgium,2011,50.3
Bulgaria,2011,31.9
Switzerland,2011,33.6
Cyprus,2011,36.7
Czechia,2011,40.3
Germany (until 1990 former territory of the FRG),2011,43.8
Denmark,2011,54.4
Euro area (11 countries),2011,45.2
Euro area (12 countries),2011,45.1
Euro area (13 countries),2011,45.1
Euro area (15 countries),2011,45.1
Euro area (16 countries),2011,45
Euro area (17 countries),2011,45
Euro area (18 countries),2011,45
Euro area (19 countries),2011,45
Estonia,2011,38.6
Greece,2011,43.8
Spain,2011,36.2
European Union - 15 countries (1995-2004),2011,44.4
European Union - 25 countries (2004-2006),2011,44.1
European Union - 28 countries,2011,44
Finland,2011,53.3
France,2011,51.1
Croatia,2011,40.6
Hungary,2011,44.1
Ireland,2011,33.7
Iceland,2011,38.8
Italy,2011,45.7
Lithuania,2011,33.5
Luxembourg,2011,42.9
Latvia,2011,36.2
Malta,2011,38.8
Netherlands,2011,42.4
Norway,2011,57.2
Poland,2011,39.1
Portugal,2011,42.6
Romania,2011,34.1
Sweden,2011,50.1
Slovenia,2011,43.3
Slovakia,2011,36.5
United Kingdom,2011,38.4
Austria,2010,48.4
Belgium,2010,49.3
Bulgaria,2010,33.1
Switzerland,2010,33.3
Cyprus,2010,37.3
Czechia,2010,39.3
Germany (until 1990 former territory of the FRG),2010,43
Denmark,2010,54
Euro area (11 countries),2010,44.6
Euro area (12 countries),2010,44.5
Euro area (13 countries),2010,44.5
Euro area (15 countries),2010,44.5
Euro area (16 countries),2010,44.4
Euro area (17 countries),2010,44.4
Euro area (18 countries),2010,44.4
Euro area (19 countries),2010,44.4
Estonia,2010,40.7
Greece,2010,41.3
Spain,2010,36.2
European Union - 15 countries (1995-2004),2010,43.9
European Union - 25 countries (2004-2006),2010,43.6
European Union - 28 countries,2010,43.5
Finland,2010,52.1
France,2010,50
Croatia,2010,41.7
Hungary,2010,44.8
Ireland,2010,33
Iceland,2010,38.3
Italy,2010,45.7
Lithuania,2010,35.4
Luxembourg,2010,43.5
Latvia,2010,36.8
Malta,2010,38.7
Netherlands,2010,42.6
Norway,2010,55.9
Poland,2010,38.5
Portugal,2010,40.6
Romania,2010,33.1
Sweden,2010,50.7
Slovenia,2010,43.6
Slovakia,2010,34.7
United Kingdom,2010,38.3
Austria,2009,48.8
Belgium,2009,48.8
Bulgaria,2009,35.3
Switzerland,2009,33.7
Cyprus,2009,36.7
Czechia,2009,38.7
Germany (until 1990 former territory of the FRG),2009,44.3
Denmark,2009,53.7
Euro area (11 countries),2009,44.8
Euro area (12 countries),2009,44.6
Euro area (13 countries),2009,44.6
Euro area (15 countries),2009,44.6
Euro area (16 countries),2009,44.5
Euro area (17 countries),2009,44.5
Euro area (18 countries),2009,44.5
Euro area (19 countries),2009,44.5
Estonia,2009,43.9
Greece,2009,38.9
Spain,2009,34.8
European Union - 15 countries (1995-2004),2009,43.9
European Union - 25 countries (2004-2006),2009,43.6
European Union - 28 countries,2009,43.4
Finland,2009,52.2
France,2009,50
Croatia,2009,42.3
Hungary,2009,45.9
Ireland,2009,33.2
Iceland,2009,37.9
Italy,2009,45.9
Lithuania,2009,35.8
Luxembourg,2009,44.5
Latvia,2009,35
Malta,2009,38.6
Netherlands,2009,42.5
Norway,2009,56.4
Poland,2009,37.8
Portugal,2009,40.4
Romania,2009,30.3
Sweden,2009,52
Slovenia,2009,42.4
Slovakia,2009,36.3
United Kingdom,2009,37.2
Austria,2008,48.4
Belgium,2008,49.2
