country,year,female_victims_of_serious_assaults (in %)
Estonia,1995,NA
Estonia,2000,NA
Estonia,2001,NA
Estonia,2002,NA
Estonia,2003,NA
Estonia,2004,NA
Estonia,2005,NA
Estonia,2006,NA
Estonia,2007,NA
Estonia,2008,NA
Estonia,2009,NA
Estonia,2010,NA
Estonia,2011,NA
Estonia,2012,NA
Estonia,2013,NA
Estonia,2014,NA
Estonia,2015,NA
Estonia,2016,NA
Estonia,2017,NA
Finland,1990,NA
Finland,1995,NA
Finland,2000,NA
Finland,2001,NA
Finland,2002,NA
Finland,2003,NA
Finland,2004,NA
Finland,2005,NA
Finland,2006,NA
Finland,2007,NA
Finland,2008,NA
Finland,2009,20.2
Finland,2010,19.4
Finland,2011,20.4
Finland,2012,19.8
Finland,2013,20.8
Finland,2014,20.7
Finland,2015,22.8
Finland,2016,22.2
Finland,2017,23.2
France,1990,NA
France,1995,NA
France,2000,NA
France,2001,NA
France,2002,NA
France,2003,NA
France,2004,NA
France,2005,NA
France,2006,NA
France,2007,NA
France,2008,NA
France,2009,NA
France,2010,NA
France,2011,NA
France,2012,NA
France,2013,NA
France,2014,NA
France,2015,48.9
France,2016,NA
France,2017,NA
Georgia,1990,NA
Georgia,1995,NA
Georgia,2000,NA
Georgia,2001,NA
Georgia,2002,NA
Georgia,2003,NA
Georgia,2004,NA
Georgia,2005,8.3
Georgia,2006,8.7
Georgia,2007,14.4
Georgia,2008,8.1
Georgia,2009,11.2
Georgia,2010,8.3
Georgia,2011,14.7
Georgia,2012,8.1
Georgia,2013,7.2
Georgia,2014,7.4
Georgia,2015,6.5
Georgia,2016,8.1
Georgia,2017,6.7
Germany,1990,21.6
Germany,1995,22.7
Germany,2000,24
Germany,2001,24.5
Germany,2002,25.6
Germany,2003,25.6
Germany,2004,25
Germany,2005,24.6
Germany,2006,24.3
Germany,2007,23.5
Germany,2008,24.7
Germany,2009,24.5
Germany,2010,24.9
Germany,2011,24.9
Germany,2012,25.4
Germany,2013,26.2
Germany,2014,26.4
Germany,2015,26.6
Germany,2016,NA
Germany,2017,NA
Greece,1990,NA
Greece,1995,NA
Greece,2000,NA
Greece,2001,NA
Greece,2002,NA
Greece,2003,NA
Greece,2004,NA
Greece,2005,NA
Greece,2006,NA
Greece,2007,NA
Greece,2008,NA
Greece,2009,NA
Greece,2010,NA
Greece,2011,NA
Greece,2012,NA
Greece,2013,NA
Greece,2014,NA
Greece,2015,NA
Greece,2016,NA
Greece,2017,NA
Hungary,1990,20.5
Hungary,1995,20
Hungary,2000,22.3
Hungary,2001,20.8
Hungary,2002,22.2
Hungary,2003,22.2
Hungary,2004,22.9
Hungary,2005,21.7
Hungary,2006,20.6
Hungary,2007,21.5
Hungary,2008,21.8
Hungary,2009,26.6
Hungary,2010,26.5
Hungary,2011,26.6
Hungary,2012,25.6
Hungary,2013,26.2
Hungary,2014,27
Hungary,2015,25.5
Hungary,2016,24.6
Hungary,2017,24.7
Iceland,1990,NA
Iceland,1995,NA
Iceland,2000,NA
Iceland,2001,NA
Iceland,2002,NA
Iceland,2003,NA
Iceland,2004,NA
Iceland,2005,NA
Iceland,2006,NA
Iceland,2007,NA
Iceland,2008,NA
Iceland,2009,NA
Iceland,2010,NA
Iceland,2011,NA
Iceland,2012,NA
Iceland,2013,NA
Iceland,2014,NA
Iceland,2015,NA
Iceland,2016,NA
Iceland,2017,NA
Ireland,1990,NA
Ireland,1995,NA
Ireland,2000,NA
Ireland,2001,NA
Ireland,2002,NA
Ireland,2003,22
Ireland,2004,22.6
Ireland,2005,22
Ireland,2006,22.2
Ireland,2007,21.3
Ireland,2008,20.1
Ireland,2009,21.8
Ireland,2010,21.9
Ireland,2011,21.5
Ireland,2012,22.9
Ireland,2013,22.4
Ireland,2014,22.3
Ireland,2015,23.9
Ireland,2016,25.8
Ireland,2017,26.4
Italy,1990,NA
Italy,1995,NA
Italy,2000,NA
Italy,2001,NA
Italy,2002,NA
Italy,2003,NA
Italy,2004,NA
Italy,2005,NA
Italy,2006,NA
Italy,2007,40.5
Italy,2008,40.6
Italy,2009,40.5
Italy,2010,40.6
Italy,2011,40.4
Italy,2012,40.6
Italy,2013,40.7
Italy,2014,40.2
Italy,2015,39.8
Italy,2016,39.1
Italy,2017,39
Kazakhstan,1990,NA
Kazakhstan,1995,NA
Kazakhstan,2000,NA
Kazakhstan,2001,NA
Kazakhstan,2002,NA
Kazakhstan,2003,NA
Kazakhstan,2004,NA
Kazakhstan,2005,NA
Kazakhstan,2006,NA
Kazakhstan,2007,NA
Kazakhstan,2008,NA
Kazakhstan,2009,NA
Kazakhstan,2010,15.3
Kazakhstan,2011,15.3
Kazakhstan,2012,15.6
Kazakhstan,2013,14.6
Kazakhstan,2014,14.4
Kazakhstan,2015,13.9
Kazakhstan,2016,13.4
Kazakhstan,2017,13.4
Kyrgyzstan,1990,NA
Kyrgyzstan,1995,NA
Kyrgyzstan,2000,14.5
Kyrgyzstan,2001,12.2
Kyrgyzstan,2002,13.1
Kyrgyzstan,2003,21.6
Kyrgyzstan,2004,19
Kyrgyzstan,2005,15.9
Kyrgyzstan,2006,15.2
Kyrgyzstan,2007,13.2
Kyrgyzstan,2008,13
Kyrgyzstan,2009,16.1
Kyrgyzstan,2010,16.1
Kyrgyzstan,2011,15.2
Kyrgyzstan,2012,NA
Kyrgyzstan,2013,NA
Kyrgyzstan,2014,NA
Kyrgyzstan,2015,NA
Kyrgyzstan,2016,NA
Kyrgyzstan,2017,NA
Latvia,1990,NA
Latvia,1995,32.9
Latvia,2000,38.2
Latvia,2001,38.6
Latvia,2002,38
Latvia,2003,NA
Latvia,2004,NA
Latvia,2005,NA
Latvia,2006,NA
Latvia,2007,NA
Latvia,2008,NA
Latvia,2009,NA
Latvia,2010,NA
Latvia,2011,NA
Latvia,2012,20
Latvia,2013,26.3
Latvia,2014,26.7
Latvia,2015,23.4
Latvia,2016,NA
Latvia,2017,27.7
Lithuania,1990,NA
Lithuania,1995,16.8
Lithuania,2000,15.5
Lithuania,2001,14.4
Lithuania,2002,NA
Lithuania,2003,NA
Lithuania,2004,18
Lithuania,2005,17.4
Lithuania,2006,18.2
Lithuania,2007,15.6
Lithuania,2008,20.5
Lithuania,2009,17.6
Lithuania,2010,20.9
Lithuania,2011,25.5
Lithuania,2012,17.4
Lithuania,2013,14.2
Lithuania,2014,13.7
Lithuania,2015,11.5
Lithuania,2016,23.1
Lithuania,2017,19.7
Luxembourg,1990,NA
Luxembourg,1995,NA
Luxembourg,2000,NA
Luxembourg,2001,50.1
Luxembourg,2002,45.8
Luxembourg,2003,48.5
Luxembourg,2004,52.4
Luxembourg,2005,56.7
Luxembourg,2006,55.8
Luxembourg,2007,NA
Luxembourg,2008,NA
Luxembourg,2009,NA
Luxembourg,2010,NA
Luxembourg,2011,NA
Luxembourg,2012,NA
Luxembourg,2013,NA
Luxembourg,2014,NA
Luxembourg,2015,NA
Luxembourg,2016,NA
Luxembourg,2017,NA
Malta,1990,NA
Malta,1995,NA
Malta,2000,NA
Malta,2001,NA
Malta,2002,NA
Malta,2003,NA
Malta,2004,NA
Malta,2005,NA
Malta,2006,NA
Malta,2007,NA
Malta,2008,NA
Malta,2009,NA
Malta,2010,NA
Malta,2011,NA
Malta,2012,NA
Malta,2013,NA
Malta,2014,NA
Malta,2015,NA
Malta,2016,NA
Malta,2017,NA
Netherlands,1990,NA
Netherlands,1995,NA
Netherlands,2000,NA
Netherlands,2001,NA
Netherlands,2002,NA
Netherlands,2003,NA
Netherlands,2004,NA
Netherlands,2005,40.8
Netherlands,2006,41.7
Netherlands,2007,41.6
Netherlands,2008,42.1
Netherlands,2009,42.1
Netherlands,2010,29.9
Netherlands,2011,NA
Netherlands,2012,NA
Netherlands,2013,NA
Netherlands,2014,NA
Netherlands,2015,NA
Netherlands,2016,NA
Netherlands,2017,NA
North Macedonia,1990,NA
North Macedonia,1995,NA
North Macedonia,2000,NA
North Macedonia,2001,NA
North Macedonia,2002,NA
North Macedonia,2003,NA
North Macedonia,2004,NA
North Macedonia,2005,NA
North Macedonia,2006,42.3
North Macedonia,2007,NA
North Macedonia,2008,NA
North Macedonia,2009,NA
North Macedonia,2010,NA
North Macedonia,2011,NA
North Macedonia,2012,NA
North Macedonia,2013,NA
North Macedonia,2014,NA
North Macedonia,2015,NA
North Macedonia,2016,NA
North Macedonia,2017,NA
Norway,1990,NA
Norway,1995,NA
Norway,2000,NA
Norway,2001,NA
Norway,2002,NA
Norway,2003,NA
Norway,2004,NA
Norway,2005,NA
Norway,2006,NA
Norway,2007,NA
Norway,2008,NA
Norway,2009,NA
Norway,2010,NA
Norway,2011,NA
Norway,2012,NA
Norway,2013,NA
Norway,2014,NA
Norway,2015,NA
Norway,2016,NA
Norway,2017,NA
Poland,1990,NA
Poland,1995,NA
Poland,2000,NA
Poland,2001,NA
Poland,2002,NA
Poland,2003,NA
Poland,2004,NA
Poland,2005,NA
Poland,2006,NA
Poland,2007,NA
Poland,2008,NA
Poland,2009,NA
Poland,2010,NA
Poland,2011,NA
Poland,2012,NA
Poland,2013,NA
Poland,2014,NA
Poland,2015,NA
Poland,2016,NA
Poland,2017,NA
Portugal,1990,NA
Portugal,1995,22.2
Portugal,2000,28
Portugal,2001,27.6
Portugal,2002,24.8
Portugal,2003,28.2
Portugal,2004,28.3
Portugal,2005,27.9
Portugal,2006,NA
Portugal,2007,NA
Portugal,2008,NA
Portugal,2009,NA
Portugal,2010,NA
Portugal,2011,NA
Portugal,2012,NA
Portugal,2013,NA
Portugal,2014,NA
Portugal,2015,NA
Portugal,2016,NA
Portugal,2017,NA
Republic of Moldova,1990,NA
Republic of Moldova,1995,NA
Republic of Moldova,2000,15.9
Republic of Moldova,2001,15
Republic of Moldova,2002,16.2
Republic of Moldova,2003,17.3
Republic of Moldova,2004,17.5
Republic of Moldova,2005,18.2
Republic of Moldova,2006,15.4
Republic of Moldova,2007,18.4
Republic of Moldova,2008,16.4
Republic of Moldova,2009,19
Republic of Moldova,2010,36.1
Republic of Moldova,2011,19.2
Republic of Moldova,2012,13.4
Republic of Moldova,2013,13.1
Republic of Moldova,2014,17.6
Republic of Moldova,2015,9.3
Republic of Moldova,2016,12.9
Republic of Moldova,2017,9.4
Romania,1990,NA
Romania,1995,NA
Romania,2000,NA
Romania,2001,NA
Romania,2002,NA
Romania,2003,14.3
Romania,2004,16.7
Romania,2005,16.4
Romania,2006,13.3
Romania,2007,10.8
Romania,2008,13.7
Romania,2009,13.5
Romania,2010,13.4
Romania,2011,NA
Romania,2012,NA
Romania,2013,NA
Romania,2014,NA
Romania,2015,NA
Romania,2016,NA
Romania,2017,NA
Russian Federation,1990,NA
Russian Federation,1995,NA
Russian Federation,2000,NA
Russian Federation,2001,NA
Russian Federation,2002,NA
Russian Federation,2003,NA
Russian Federation,2004,NA
Russian Federation,2005,NA
Russian Federation,2006,NA
Russian Federation,2007,NA
Russian Federation,2008,NA
Russian Federation,2009,NA
Russian Federation,2010,NA
Russian Federation,2011,NA
Russian Federation,2012,NA
Russian Federation,2013,NA
Russian Federation,2014,NA
Russian Federation,2015,NA
Russian Federation,2016,NA
Russian Federation,2017,NA
Serbia,1990,NA
Serbia,1995,NA
Serbia,2000,NA
Serbia,2001,NA
Serbia,2002,NA
Serbia,2003,NA
Serbia,2004,NA
Serbia,2005,NA
Serbia,2006,NA
Serbia,2007,15.3
Serbia,2008,14.2
Serbia,2009,9.8
Serbia,2010,12.4
Serbia,2011,11.2
Serbia,2012,13.2
Serbia,2013,11.2
Serbia,2014,10.8
Serbia,2015,11.3
Serbia,2016,10.6
Serbia,2017,7.7
Slovakia,1990,NA
Slovakia,1995,NA
Slovakia,2000,NA
Slovakia,2001,NA
Slovakia,2002,NA
Slovakia,2003,NA
Slovakia,2004,NA
Slovakia,2005,21.3
Slovakia,2006,22.1
Slovakia,2007,19.6
Slovakia,2008,19.4
Slovakia,2009,21.3
Slovakia,2010,19.9
Slovakia,2011,15.9
Slovakia,2012,20.9
Slovakia,2013,21.5
Slovakia,2014,24.9
Slovakia,2015,24.9
Slovakia,2016,21.6
Slovakia,2017,20.8
Slovenia,1990,NA
Slovenia,1995,18.6
Slovenia,2000,17.1
Slovenia,2001,20.7
Slovenia,2002,18.1
Slovenia,2003,14.3
Slovenia,2004,17.6
Slovenia,2005,20.6
Slovenia,2006,18.1
Slovenia,2007,19.2
Slovenia,2008,12.5
Slovenia,2009,23.7
Slovenia,2010,21.3
Slovenia,2011,18.5
Slovenia,2012,16
Slovenia,2013,21.9
Slovenia,2014,16.9
Slovenia,2015,20.2
Slovenia,2016,21.7
Slovenia,2017,17.4
Spain,1990,NA
Spain,1995,NA
Spain,2000,24.8
Spain,2001,24.6
Spain,2002,26.4
Spain,2003,29.1
Spain,2004,36.9
Spain,2005,37.3
Spain,2006,37.3
Spain,2007,36.3
Spain,2008,31.8
Spain,2009,27
Spain,2010,25.1
Spain,2011,17.6
Spain,2012,18
Spain,2013,18.9
Spain,2014,19.3
Spain,2015,30.2
Spain,2016,23.8
Spain,2017,24
Sweden,1990,NA
Sweden,1995,NA
Sweden,2000,NA
Sweden,2001,NA
Sweden,2002,NA
Sweden,2003,NA
Sweden,2004,NA
Sweden,2005,NA
Sweden,2006,NA
Sweden,2007,NA
Sweden,2008,20.1
Sweden,2009,20.4
Sweden,2010,21.4
Sweden,2011,21
Sweden,2012,21.9
Sweden,2013,22.4
Sweden,2014,22.4
Sweden,2015,23.3
Sweden,2016,23
Sweden,2017,24.8
Switzerland,1990,NA
Switzerland,1995,NA
Switzerland,2000,NA
Switzerland,2001,NA
Switzerland,2002,NA
Switzerland,2003,NA
Switzerland,2004,NA
Switzerland,2005,NA
Switzerland,2006,NA
Switzerland,2007,NA
Switzerland,2008,NA
Switzerland,2009,16.5
Switzerland,2010,17.4
Switzerland,2011,17.9
Switzerland,2012,19.8
Switzerland,2013,19.5
Switzerland,2014,19.5
Switzerland,2015,18.3
Switzerland,2016,19.7
Switzerland,2017,17.9
Tajikistan,1990,NA
Tajikistan,1995,NA
Tajikistan,2000,10.2
Tajikistan,2001,17.7
Tajikistan,2002,13.9
Tajikistan,2003,20.2
Tajikistan,2004,12.6
Tajikistan,2005,12.6
Tajikistan,2006,14.4
Tajikistan,2007,19.7
Tajikistan,2008,11.3
Tajikistan,2009,15.6
Tajikistan,2010,12.2
Tajikistan,2011,16.1
Tajikistan,2012,13.2
Tajikistan,2013,15.9
Tajikistan,2014,4.8
Tajikistan,2015,14.5
Tajikistan,2016,19.1
Tajikistan,2017,13.6
Turkey,1990,NA
Turkey,1995,NA
Turkey,2000,14.6
Turkey,2001,18.3
Turkey,2002,18.9
Turkey,2003,18.3
Turkey,2004,17.8
Turkey,2005,16
Turkey,2006,17
Turkey,2007,21
Turkey,2008,24.5
Turkey,2009,26.7
Turkey,2010,29.2
Turkey,2011,30.1
Turkey,2012,32.1
Turkey,2013,33.4
Turkey,2014,27.7
Turkey,2015,35.4
Turkey,2016,NA
Turkey,2017,NA
Ukraine,1990,NA
Ukraine,1995,NA
Ukraine,2000,NA
Ukraine,2001,NA
Ukraine,2002,18.2
Ukraine,2003,15.9
Ukraine,2004,18.3
Ukraine,2005,18.4
Ukraine,2006,16.3
Ukraine,2007,16.2
Ukraine,2008,17.2
Ukraine,2009,15.7
Ukraine,2010,17.3
Ukraine,2011,17.8
Ukraine,2012,16
Ukraine,2013,18.8
Ukraine,2014,16.2
Ukraine,2015,17.8
Ukraine,2016,17.8
Ukraine,2017,17.1
United Kingdom,1990,NA
United Kingdom,1995,NA
United Kingdom,2000,NA
United Kingdom,2001,NA
United Kingdom,2002,NA
United Kingdom,2003,NA
United Kingdom,2004,NA
United Kingdom,2005,NA
United Kingdom,2006,NA
United Kingdom,2007,NA
United Kingdom,2008,NA
United Kingdom,2009,NA
United Kingdom,2010,NA
United Kingdom,2011,NA
United Kingdom,2012,NA
United Kingdom,2013,NA
United Kingdom,2014,NA
United Kingdom,2015,NA
United Kingdom,2016,NA
United Kingdom,2017,NA
