iso2c,country,GB.XPD.RSDV.GD.ZS,year
AZ,Azerbaijan,0.21848,2010
AZ,Azerbaijan,0.24976,2009
AZ,Azerbaijan,0.16554,2008
AZ,Azerbaijan,0.17006,2007
AZ,Azerbaijan,0.17165,2006
AZ,Azerbaijan,0.21994,2005
AZ,Azerbaijan,0.29831,2004
AZ,Azerbaijan,0.32496,2003
AZ,Azerbaijan,0.30155,2002
AZ,Azerbaijan,0.34001,2001
AZ,Azerbaijan,0.336,2000
AZ,Azerbaijan,0.39289,1999
AZ,Azerbaijan,0.42124,1998
AZ,Azerbaijan,0.3695,1997
AZ,Azerbaijan,0.23533,1996
AZ,Azerbaijan,NA,1995
BE,Belgium,NA,2017
BE,Belgium,2.48835,2016
BE,Belgium,2.46611,2015
BE,Belgium,2.38746,2014
BE,Belgium,2.33393,2013
BE,Belgium,2.27334,2012
BE,Belgium,2.15533,2011
BE,Belgium,2.05081,2010
BE,Belgium,1.98537,2009
BE,Belgium,1.92413,2008
BE,Belgium,1.84413,2007
BE,Belgium,1.81426,2006
BE,Belgium,1.78231,2005
BE,Belgium,1.80898,2004
BE,Belgium,1.83184,2003
BE,Belgium,1.89073,2002
BE,Belgium,2.02168,2001
BE,Belgium,1.92236,2000
BE,Belgium,1.89068,1999
BE,Belgium,1.82362,1998
BE,Belgium,1.79476,1997
BE,Belgium,1.72963,1996
BE,Belgium,NA,1995
BG,Bulgaria,NA,2017
BG,Bulgaria,0.78006,2016
BG,Bulgaria,0.96019,2015
BG,Bulgaria,0.79492,2014
BG,Bulgaria,0.63491,2013
BG,Bulgaria,0.60479,2012
BG,Bulgaria,0.53191,2011
BG,Bulgaria,0.56387,2010
BG,Bulgaria,0.4947,2009
BG,Bulgaria,0.44787,2008
BG,Bulgaria,0.43024,2007
BG,Bulgaria,0.4454,2006
BG,Bulgaria,0.44617,2005
BG,Bulgaria,0.47449,2004
BG,Bulgaria,0.47587,2003
BG,Bulgaria,0.46834,2002
BG,Bulgaria,0.45052,2001
BG,Bulgaria,0.49866,2000
BG,Bulgaria,0.54214,1999
BG,Bulgaria,0.4954,1998
BG,Bulgaria,0.47048,1997
BG,Bulgaria,0.50865,1996
BG,Bulgaria,NA,1995
BA,Bosnia and Herzegovina,0.19951,2017
BA,Bosnia and Herzegovina,0.21597,2016
BA,Bosnia and Herzegovina,0.21862,2015
BA,Bosnia and Herzegovina,0.25725,2014
BA,Bosnia and Herzegovina,0.32132,2013
BA,Bosnia and Herzegovina,0.26533,2012
BA,Bosnia and Herzegovina,NA,2011
BA,Bosnia and Herzegovina,NA,2010
BA,Bosnia and Herzegovina,0.02106,2009
BA,Bosnia and Herzegovina,0.01842,2008
BA,Bosnia and Herzegovina,0.02522,2007
BA,Bosnia and Herzegovina,0.01969,2006
BA,Bosnia and Herzegovina,0.02696,2005
BA,Bosnia and Herzegovina,0.01611,2004
BA,Bosnia and Herzegovina,0.01854,2003
BA,Bosnia and Herzegovina,NA,2002
BA,Bosnia and Herzegovina,NA,2001
BA,Bosnia and Herzegovina,NA,2000
BA,Bosnia and Herzegovina,NA,1999
BA,Bosnia and Herzegovina,NA,1998
BA,Bosnia and Herzegovina,NA,1997
BA,Bosnia and Herzegovina,NA,1996
BA,Bosnia and Herzegovina,NA,1995
BY,Belarus,0.58716,2017
BY,Belarus,0.50063,2016
BY,Belarus,0.49999,2015
BY,Belarus,0.50548,2014
BY,Belarus,0.65191,2013
BY,Belarus,0.64603,2012
BY,Belarus,0.6776,2011
BY,Belarus,0.66913,2010
BY,Belarus,0.64269,2009
BY,Belarus,0.74147,2008
BY,Belarus,0.96203,2007
BY,Belarus,0.66065,2006
BY,Belarus,0.67852,2005
BY,Belarus,0.62759,2004
BY,Belarus,0.61147,2003
BY,Belarus,0.6209,2002
BY,Belarus,0.70876,2001
BY,Belarus,0.7221,2000
BY,Belarus,0.84523,1999
BY,Belarus,0.70578,1998
BY,Belarus,0.73,1997
BY,Belarus,0.99852,1996
BY,Belarus,NA,1995
CY,Cyprus,NA,2017
CY,Cyprus,0.50167,2016
CY,Cyprus,0.4807,2015
CY,Cyprus,0.50847,2014
CY,Cyprus,0.48218,2013
CY,Cyprus,0.43778,2012
CY,Cyprus,0.45554,2011
CY,Cyprus,0.44663,2010
CY,Cyprus,0.44442,2009
CY,Cyprus,0.38601,2008
CY,Cyprus,0.39826,2007
CY,Cyprus,0.37724,2006
CY,Cyprus,0.36197,2005
CY,Cyprus,0.33368,2004
CY,Cyprus,0.3177,2003
CY,Cyprus,0.27491,2002
CY,Cyprus,0.23313999999999999,2001
CY,Cyprus,0.2225,2000
CY,Cyprus,0.21567,1999
CY,Cyprus,0.20125,1998
CY,Cyprus,NA,1997
CY,Cyprus,NA,1996
CY,Cyprus,NA,1995
CZ,Czech Republic,NA,2017
CZ,Czech Republic,1.6783,2016
CZ,Czech Republic,1.92923,2015
CZ,Czech Republic,1.97285,2014
CZ,Czech Republic,1.89973,2013
CZ,Czech Republic,1.78231,2012
CZ,Czech Republic,1.55571,2011
CZ,Czech Republic,1.33688,2010
CZ,Czech Republic,1.29438,2009
CZ,Czech Republic,1.23933,2008
CZ,Czech Republic,1.30228,2007
CZ,Czech Republic,1.23173,2006
CZ,Czech Republic,1.16835,2005
CZ,Czech Republic,1.14559,2004
CZ,Czech Republic,1.14741,2003
CZ,Czech Republic,1.10202,2002
CZ,Czech Republic,1.10333,2001
CZ,Czech Republic,1.11319,2000
CZ,Czech Republic,1.05452,1999
CZ,Czech Republic,1.06528,1998
CZ,Czech Republic,0.99439,1997
CZ,Czech Republic,0.89446,1996
CZ,Czech Republic,NA,1995
DE,Germany,NA,2017
DE,Germany,2.93949,2016
DE,Germany,2.91695,2015
DE,Germany,2.87289,2014
DE,Germany,2.82105,2013
DE,Germany,2.86813,2012
DE,Germany,2.79562,2011
DE,Germany,2.71367,2010
DE,Germany,2.72644,2009
DE,Germany,2.59712,2008
DE,Germany,2.44633,2007
DE,Germany,2.45604,2006
DE,Germany,2.42253,2005
DE,Germany,2.42079,2004
DE,Germany,2.4566,2003
DE,Germany,2.41543,2002
DE,Germany,2.38558,2001
DE,Germany,2.39166,2000
DE,Germany,2.33383,1999
DE,Germany,2.2123,1998
DE,Germany,2.1788,1997
DE,Germany,2.13716,1996
DE,Germany,NA,1995
DK,Denmark,NA,2017
DK,Denmark,2.87125,2016
DK,Denmark,2.95742,2015
DK,Denmark,2.91404,2014
DK,Denmark,2.97048,2013
DK,Denmark,2.98125,2012
DK,Denmark,2.94465,2011
DK,Denmark,2.91707,2010
DK,Denmark,3.05514,2009
DK,Denmark,2.77346,2008
DK,Denmark,2.51541,2007
DK,Denmark,2.403,2006
DK,Denmark,2.39337,2005
DK,Denmark,2.41916,2004
DK,Denmark,2.51085,2003
DK,Denmark,2.44145,2002
DK,Denmark,2.32466,2001
DK,Denmark,NA,2000
DK,Denmark,2.12764,1999
DK,Denmark,2.00619,1998
DK,Denmark,1.88914,1997
DK,Denmark,1.80667,1996
DK,Denmark,NA,1995
ES,Spain,NA,2017
ES,Spain,1.18549,2016
ES,Spain,1.21963,2015
ES,Spain,1.23535,2014
ES,Spain,1.26859,2013
ES,Spain,1.28788,2012
ES,Spain,1.32508,2011
ES,Spain,1.34961,2010
ES,Spain,1.35134,2009
ES,Spain,1.31706,2008
ES,Spain,1.23448,2007
ES,Spain,1.17217,2006
ES,Spain,1.09577,2005
ES,Spain,1.03849,2004
ES,Spain,1.02219,2003
ES,Spain,0.96005,2002
ES,Spain,0.89019,2001
ES,Spain,0.88495,2000
ES,Spain,0.84052,1999
ES,Spain,0.85102,1998
ES,Spain,0.77964,1997
ES,Spain,0.78949,1996
ES,Spain,NA,1995
EE,Estonia,NA,2017
EE,Estonia,1.28129,2016
EE,Estonia,1.48796,2015
EE,Estonia,1.45063,2014
EE,Estonia,1.72216,2013
EE,Estonia,2.12265,2012
EE,Estonia,2.30655,2011
EE,Estonia,1.58162,2010
EE,Estonia,1.39541,2009
EE,Estonia,1.25952,2008
EE,Estonia,1.06884,2007
EE,Estonia,1.11666,2006
EE,Estonia,0.92364,2005
EE,Estonia,0.85193,2004
EE,Estonia,0.76777,2003
EE,Estonia,0.71649,2002
EE,Estonia,0.69946,2001
EE,Estonia,0.60009,2000
EE,Estonia,0.68063,1999
EE,Estonia,0.57074,1998
EE,Estonia,NA,1997
EE,Estonia,NA,1996
EE,Estonia,NA,1995
FI,Finland,NA,2017
FI,Finland,2.74645,2016
FI,Finland,2.89637,2015
FI,Finland,3.16931,2014
FI,Finland,3.28719,2013
FI,Finland,3.41948,2012
FI,Finland,3.63881,2011
FI,Finland,3.72598,2010
FI,Finland,3.74883,2009
FI,Finland,3.54708,2008
FI,Finland,3.34577,2007
FI,Finland,3.33762,2006
FI,Finland,3.32976,2005
FI,Finland,3.31494,2004
FI,Finland,3.30214,2003
FI,Finland,3.2574,2002
FI,Finland,3.19795,2001
FI,Finland,3.24569,2000
FI,Finland,3.05603,1999
FI,Finland,2.78655,1998
FI,Finland,2.62321,1997
FI,Finland,2.45311,1996
FI,Finland,NA,1995
FR,France,NA,2017
FR,France,2.24805,2016
FR,France,2.26703,2015
FR,France,2.27592,2014
FR,France,2.23703,2013
FR,France,2.22707,2012
FR,France,2.19161,2011
FR,France,2.17857,2010
FR,France,2.21207,2009
FR,France,2.06117,2008
FR,France,2.02451,2007
FR,France,2.05094,2006
FR,France,2.05151,2005
FR,France,2.09461,2004
FR,France,2.11994,2003
FR,France,2.17449,2002
FR,France,2.13804,2001
FR,France,2.09346,2000
FR,France,2.10767,1999
FR,France,2.09476,1998
FR,France,2.14699,1997
FR,France,2.2228,1996
FR,France,NA,1995
GB,United Kingdom,NA,2017
GB,United Kingdom,1.68847,2016
GB,United Kingdom,1.67445,2015
GB,United Kingdom,1.66568,2014
GB,United Kingdom,1.6476,2013
GB,United Kingdom,1.60252,2012
GB,United Kingdom,1.67454,2011
GB,United Kingdom,1.66861,2010
GB,United Kingdom,1.69094,2009
GB,United Kingdom,1.63064,2008
GB,United Kingdom,1.6268,2007
GB,United Kingdom,1.58552,2006
GB,United Kingdom,1.56386,2005
GB,United Kingdom,1.54555,2004
GB,United Kingdom,1.59374,2003
GB,United Kingdom,1.62964,2002
GB,United Kingdom,1.62331,2001
GB,United Kingdom,1.6268,2000
GB,United Kingdom,1.64432,1999
GB,United Kingdom,1.56211,1998
GB,United Kingdom,1.54564,1997
GB,United Kingdom,1.58755,1996
GB,United Kingdom,NA,1995
GE,Georgia,NA,2017
GE,Georgia,0.30104,2016
GE,Georgia,0.31982,2015
GE,Georgia,0.1849,2014
GE,Georgia,0.08367,2013
GE,Georgia,NA,2012
GE,Georgia,NA,2011
GE,Georgia,NA,2010
GE,Georgia,NA,2009
GE,Georgia,NA,2008
GE,Georgia,NA,2007
GE,Georgia,NA,2006
GE,Georgia,0.17658,2005
GE,Georgia,0.2442,2004
GE,Georgia,0.2176,2003
GE,Georgia,0.18574,2002
GE,Georgia,0.23848,2001
GE,Georgia,0.2153,2000
GE,Georgia,0.28769,1999
GE,Georgia,0.35384,1998
GE,Georgia,0.3424,1997
GE,Georgia,0.33088,1996
GE,Georgia,NA,1995
GR,Greece,NA,2017
GR,Greece,1.007,2016
GR,Greece,0.96637,2015
GR,Greece,0.8333,2014
GR,Greece,0.81131,2013
GR,Greece,0.69957,2012
GR,Greece,0.67196,2011
GR,Greece,0.59838,2010
GR,Greece,0.62557,2009
GR,Greece,0.66183,2008
GR,Greece,0.57655,2007
GR,Greece,0.56118,2006
GR,Greece,0.57896,2005
GR,Greece,0.5273,2004
GR,Greece,0.54654,2003
GR,Greece,NA,2002
GR,Greece,0.55948,2001
GR,Greece,NA,2000
GR,Greece,0.56823,1999
GR,Greece,NA,1998
GR,Greece,0.4291,1997
GR,Greece,NA,1996
GR,Greece,NA,1995
HR,Croatia,NA,2017
HR,Croatia,0.84581,2016
HR,Croatia,0.84186,2015
HR,Croatia,0.78324,2014
HR,Croatia,0.81117,2013
HR,Croatia,0.75007,2012
HR,Croatia,0.7507,2011
HR,Croatia,0.74265,2010
HR,Croatia,0.84425,2009
HR,Croatia,0.88413,2008
HR,Croatia,0.79225,2007
HR,Croatia,0.74009,2006
HR,Croatia,0.85558,2005
HR,Croatia,1.0308,2004
HR,Croatia,0.95059,2003
HR,Croatia,0.94811,2002
HR,Croatia,0.91644,2001
HR,Croatia,1.0441,2000
HR,Croatia,0.8404,1999
HR,Croatia,NA,1998
HR,Croatia,NA,1997
HR,Croatia,NA,1996
HR,Croatia,NA,1995
HU,Hungary,NA,2017
HU,Hungary,1.20606,2016
HU,Hungary,1.36461,2015
HU,Hungary,1.35339,2014
HU,Hungary,1.3889,2013
HU,Hungary,1.26362,2012
HU,Hungary,1.18897,2011
HU,Hungary,1.13945,2010
HU,Hungary,1.13212,2009
HU,Hungary,0.9796,2008
HU,Hungary,0.95674,2007
HU,Hungary,0.98097,2006
HU,Hungary,0.92094,2005
HU,Hungary,0.86035,2004
HU,Hungary,0.91841,2003
HU,Hungary,0.98198,2002
HU,Hungary,0.91189,2001
HU,Hungary,0.78942,2000
HU,Hungary,0.67053,1999
HU,Hungary,0.65625,1998
HU,Hungary,0.69905,1997
HU,Hungary,0.63025,1996
HU,Hungary,NA,1995
IE,Ireland,NA,2017
IE,Ireland,1.17681,2016
IE,Ireland,1.19563,2015
IE,Ireland,1.52633,2014
IE,Ireland,1.58026,2013
IE,Ireland,1.57101,2012
IE,Ireland,1.55049,2011
IE,Ireland,1.59294,2010
IE,Ireland,1.60823,2009
IE,Ireland,1.38776,2008
IE,Ireland,1.23325,2007
IE,Ireland,1.19835,2006
IE,Ireland,1.1928,2005
IE,Ireland,1.17866,2004
IE,Ireland,1.12451,2003
IE,Ireland,1.05609,2002
IE,Ireland,1.05308,2001
IE,Ireland,1.08497,2000
IE,Ireland,1.15338,1999
IE,Ireland,1.20958,1998
IE,Ireland,1.24317,1997
IE,Ireland,1.27006,1996
IE,Ireland,NA,1995
IT,Italy,NA,2017
IT,Italy,1.28566,2016
IT,Italy,1.34072,2015
IT,Italy,1.34301,2014
IT,Italy,1.30768,2013
IT,Italy,1.27087,2012
IT,Italy,1.20984,2011
IT,Italy,1.22311,2010
IT,Italy,1.22126,2009
IT,Italy,1.16367,2008
IT,Italy,1.1327,2007
IT,Italy,1.08696,2006
IT,Italy,1.04709,2005
IT,Italy,1.05312,2004
IT,Italy,1.06198,2003
IT,Italy,1.08482,2002
IT,Italy,1.04491,2001
IT,Italy,1.00546,2000
IT,Italy,0.98337,1999
IT,Italy,1.00784,1998
IT,Italy,0.98994,1997
IT,Italy,0.94843,1996
IT,Italy,NA,1995
KZ,Kazakhstan,NA,2017
KZ,Kazakhstan,0.14179,2016
KZ,Kazakhstan,0.16951,2015
KZ,Kazakhstan,0.16722,2014
KZ,Kazakhstan,0.17132,2013
KZ,Kazakhstan,0.16525,2012
KZ,Kazakhstan,0.15349,2011
KZ,Kazakhstan,0.15341,2010
KZ,Kazakhstan,0.22924,2009
KZ,Kazakhstan,0.21654,2008
KZ,Kazakhstan,0.20884,2007
KZ,Kazakhstan,0.24281,2006
KZ,Kazakhstan,0.28361,2005
KZ,Kazakhstan,0.24837,2004
KZ,Kazakhstan,0.25246,2003
KZ,Kazakhstan,0.25509,2002
KZ,Kazakhstan,0.22009,2001
KZ,Kazakhstan,0.18104,2000
KZ,Kazakhstan,0.18383,1999
KZ,Kazakhstan,0.22039,1998
KZ,Kazakhstan,0.29337,1997
KZ,Kazakhstan,NA,1996
KZ,Kazakhstan,NA,1995
KG,Kyrgyz Republic,0.10903,2017
KG,Kyrgyz Republic,0.11121,2016
KG,Kyrgyz Republic,0.11903,2015
KG,Kyrgyz Republic,0.12536,2014
KG,Kyrgyz Republic,0.14914,2013
KG,Kyrgyz Republic,0.1661,2012
KG,Kyrgyz Republic,0.15633,2011
KG,Kyrgyz Republic,0.15547,2010
KG,Kyrgyz Republic,0.15997,2009
KG,Kyrgyz Republic,0.19017,2008
KG,Kyrgyz Republic,0.23425,2007
KG,Kyrgyz Republic,0.23014,2006
KG,Kyrgyz Republic,0.19861,2005
KG,Kyrgyz Republic,0.19926,2004
KG,Kyrgyz Republic,0.22272,2003
KG,Kyrgyz Republic,0.1981,2002
KG,Kyrgyz Republic,0.17189,2001
KG,Kyrgyz Republic,0.15637,2000
KG,Kyrgyz Republic,0.17992,1999
KG,Kyrgyz Republic,0.21064,1998
KG,Kyrgyz Republic,0.1939,1997
KG,Kyrgyz Republic,NA,1996
KG,Kyrgyz Republic,NA,1995
LT,Lithuania,NA,2017
LT,Lithuania,0.84724,2016
LT,Lithuania,1.04116,2015
LT,Lithuania,1.03048,2014
LT,Lithuania,0.95088,2013
LT,Lithuania,0.89469,2012
LT,Lithuania,0.9039,2011
LT,Lithuania,0.78348,2010
LT,Lithuania,0.82967,2009
LT,Lithuania,0.78844,2008
LT,Lithuania,0.80093,2007
LT,Lithuania,0.79119,2006
LT,Lithuania,0.74741,2005
LT,Lithuania,0.75066,2004
LT,Lithuania,0.66339,2003
LT,Lithuania,0.6567,2002
LT,Lithuania,0.66679,2001
LT,Lithuania,0.5848,2000
LT,Lithuania,0.502,1999
LT,Lithuania,0.54377,1998
LT,Lithuania,0.53658,1997
LT,Lithuania,0.49155,1996
LT,Lithuania,NA,1995
LU,Luxembourg,NA,2017
LU,Luxembourg,1.24366,2016
LU,Luxembourg,1.27116,2015
LU,Luxembourg,1.25978,2014
LU,Luxembourg,1.30266,2013
LU,Luxembourg,1.27267,2012
LU,Luxembourg,1.46277,2011
LU,Luxembourg,1.50257,2010
LU,Luxembourg,1.6775,2009
LU,Luxembourg,1.62293,2008
LU,Luxembourg,1.59123,2007
LU,Luxembourg,1.66674,2006
LU,Luxembourg,1.57171,2005
LU,Luxembourg,1.60262,2004
LU,Luxembourg,1.62595,2003
LU,Luxembourg,NA,2002
LU,Luxembourg,NA,2001
LU,Luxembourg,1.57673,2000
LU,Luxembourg,NA,1999
LU,Luxembourg,NA,1998
LU,Luxembourg,NA,1997
LU,Luxembourg,NA,1996
LU,Luxembourg,NA,1995
LV,Latvia,NA,2017
LV,Latvia,0.44292,2016
LV,Latvia,0.62623,2015
LV,Latvia,0.6893,2014
LV,Latvia,0.6122,2013
LV,Latvia,0.66424,2012
LV,Latvia,0.69662,2011
LV,Latvia,0.61078,2010
LV,Latvia,0.45271,2009
LV,Latvia,0.58139,2008
LV,Latvia,0.55379,2007
LV,Latvia,0.65063,2006
LV,Latvia,0.52959,2005
LV,Latvia,0.40013,2004
LV,Latvia,0.36002,2003
LV,Latvia,0.40888,2002
LV,Latvia,0.40321,2001
LV,Latvia,0.43598,2000
LV,Latvia,0.35186,1999
LV,Latvia,0.37876,1998
LV,Latvia,0.3664,1997
LV,Latvia,0.39723,1996
LV,Latvia,NA,1995
MD,Moldova,0.30186,2017
MD,Moldova,0.32888,2016
MD,Moldova,0.36797,2015
MD,Moldova,0.37055,2014
MD,Moldova,0.35419,2013
MD,Moldova,0.41733,2012
MD,Moldova,0.40499,2011
MD,Moldova,0.43987,2010
MD,Moldova,0.52557,2009
MD,Moldova,0.53463,2008
MD,Moldova,0.54558,2007
MD,Moldova,0.40622,2006
MD,Moldova,0.39865,2005
MD,Moldova,0.34903,2004
MD,Moldova,0.32405,2003
MD,Moldova,NA,2002
MD,Moldova,NA,2001
MD,Moldova,NA,2000
MD,Moldova,NA,1999
MD,Moldova,NA,1998
MD,Moldova,0.80679,1997
MD,Moldova,0.87295,1996
MD,Moldova,NA,1995
MK,North Macedonia,0.35343,2017
MK,North Macedonia,0.43287,2016
MK,North Macedonia,0.44468,2015
MK,North Macedonia,0.51646,2014
MK,North Macedonia,0.43894,2013
MK,North Macedonia,0.32676,2012
MK,North Macedonia,0.22276,2011
MK,North Macedonia,0.21634,2010
MK,North Macedonia,0.19679,2009
MK,North Macedonia,0.22358,2008
MK,North Macedonia,0.17093,2007
MK,North Macedonia,0.19373,2006
MK,North Macedonia,0.22825,2005
MK,North Macedonia,0.23237,2004
MK,North Macedonia,0.21064,2003
MK,North Macedonia,0.24461,2002
MK,North Macedonia,0.2931,2001
MK,North Macedonia,0.41888,2000
MK,North Macedonia,0.3451,1999
MK,North Macedonia,0.4296,1998
MK,North Macedonia,0.37773,1997
MK,North Macedonia,NA,1996
MK,North Macedonia,NA,1995
MT,Malta,NA,2017
MT,Malta,0.59697,2016
MT,Malta,0.74981,2015
MT,Malta,0.71499,2014
MT,Malta,0.77284,2013
MT,Malta,0.82639,2012
MT,Malta,0.67331,2011
MT,Malta,0.60667,2010
MT,Malta,0.5174,2009
MT,Malta,0.53331,2008
MT,Malta,0.5485,2007
MT,Malta,0.58025,2006
MT,Malta,0.52996,2005
MT,Malta,0.49256,2004
MT,Malta,0.23707,2003
MT,Malta,0.2385,2002
MT,Malta,NA,2001
MT,Malta,NA,2000
MT,Malta,NA,1999
MT,Malta,NA,1998
MT,Malta,NA,1997
MT,Malta,NA,1996
MT,Malta,NA,1995
ME,Montenegro,NA,2017
ME,Montenegro,NA,2016
ME,Montenegro,0.374,2015
ME,Montenegro,0.3632,2014
ME,Montenegro,0.37431,2013
ME,Montenegro,NA,2012
ME,Montenegro,0.31485,2011
ME,Montenegro,NA,2010
ME,Montenegro,NA,2009
ME,Montenegro,NA,2008
ME,Montenegro,1.14521,2007
ME,Montenegro,1.22991,2006
ME,Montenegro,0.92443,2005
ME,Montenegro,1.01874,2004
ME,Montenegro,0.79772,2003
ME,Montenegro,NA,2002
ME,Montenegro,NA,2001
ME,Montenegro,NA,2000
ME,Montenegro,NA,1999
ME,Montenegro,NA,1998
ME,Montenegro,NA,1997
ME,Montenegro,NA,1996
ME,Montenegro,NA,1995
NL,Netherlands,NA,2017
NL,Netherlands,2.03247,2016
NL,Netherlands,2.0039,2015
NL,Netherlands,2.00116,2014
NL,Netherlands,1.95267,2013
NL,Netherlands,1.93945,2012
NL,Netherlands,1.90306,2011
NL,Netherlands,1.72475,2010
NL,Netherlands,1.6854,2009
NL,Netherlands,1.64309,2008
NL,Netherlands,1.68634,2007
NL,Netherlands,1.7567,2006
NL,Netherlands,1.79103,2005
NL,Netherlands,1.80727,2004
NL,Netherlands,1.80551,2003
NL,Netherlands,1.76885,2002
NL,Netherlands,1.81562,2001
NL,Netherlands,1.80556,2000
NL,Netherlands,1.84313,1999
NL,Netherlands,1.76435,1998
NL,Netherlands,1.86542,1997
NL,Netherlands,1.8607,1996
NL,Netherlands,NA,1995
PL,Poland,NA,2017
PL,Poland,0.96538,2016
PL,Poland,1.00371,2015
PL,Poland,0.94014,2014
PL,Poland,0.87053,2013
PL,Poland,0.88086,2012
PL,Poland,0.74588,2011
PL,Poland,0.7207,2010
PL,Poland,0.66097,2009
PL,Poland,0.59921,2008
PL,Poland,0.56189,2007
PL,Poland,0.55082,2006
PL,Poland,0.56281,2005
PL,Poland,0.55251,2004
PL,Poland,0.53884,2003
PL,Poland,0.55785,2002
PL,Poland,0.62284,2001
PL,Poland,0.64202,2000
PL,Poland,0.6818,1999
PL,Poland,0.66083,1998
PL,Poland,0.64412,1997
PL,Poland,0.64037,1996
PL,Poland,NA,1995
PT,Portugal,NA,2017
PT,Portugal,1.26565,2016
PT,Portugal,1.24263,2015
PT,Portugal,1.28973,2014
PT,Portugal,1.32641,2013
PT,Portugal,1.37777,2012
PT,Portugal,1.45683,2011
PT,Portugal,1.53257,2010
PT,Portugal,1.57973,2009
PT,Portugal,1.4452,2008
PT,Portugal,1.12427,2007
PT,Portugal,0.95455,2006
PT,Portugal,0.75707,2005
PT,Portugal,0.72871,2004
PT,Portugal,0.69759,2003
PT,Portugal,0.72144,2002
PT,Portugal,0.76452,2001
PT,Portugal,0.72127,2000
PT,Portugal,0.681,1999
PT,Portugal,0.62468,1998
PT,Portugal,0.5636,1997
PT,Portugal,0.5495,1996
PT,Portugal,NA,1995
RO,Romania,NA,2017
RO,Romania,0.48209,2016
RO,Romania,0.48788,2015
RO,Romania,0.3825,2014
RO,Romania,0.38666,2013
RO,Romania,0.48251,2012
RO,Romania,0.49582,2011
RO,Romania,0.45569,2010
RO,Romania,0.44779,2009
RO,Romania,0.55398,2008
RO,Romania,0.50756,2007
RO,Romania,0.45123,2006
RO,Romania,0.40747,2005
RO,Romania,0.38307,2004
RO,Romania,0.38341,2003
RO,Romania,0.37633,2002
RO,Romania,0.3882,2001
RO,Romania,0.36445,2000
RO,Romania,0.39579,1999
RO,Romania,0.49208,1998
RO,Romania,0.57028,1997
RO,Romania,0.67026,1996
RO,Romania,NA,1995
RU,Russian Federation,NA,2017
RU,Russian Federation,1.09557,2016
RU,Russian Federation,1.09689,2015
RU,Russian Federation,1.07011,2014
RU,Russian Federation,1.02524,2013
RU,Russian Federation,1.02675,2012
RU,Russian Federation,1.01261,2011
RU,Russian Federation,1.1302,2010
RU,Russian Federation,1.25192,2009
RU,Russian Federation,1.04435,2008
RU,Russian Federation,1.11611,2007
RU,Russian Federation,1.07294,2006
RU,Russian Federation,1.06797,2005
RU,Russian Federation,1.15133,2004
RU,Russian Federation,1.28603,2003
RU,Russian Federation,1.24782,2002
RU,Russian Federation,1.17694,2001
RU,Russian Federation,1.04984,2000
RU,Russian Federation,0.99624,1999
RU,Russian Federation,0.95384,1998
RU,Russian Federation,1.04374,1997
RU,Russian Federation,0.96593,1996
RU,Russian Federation,NA,1995
RS,Serbia,0.93022,2017
